name,region,season,stat,IMPORT_EXPORT,TOTAL,b_CHP,bio,biogas,coal,coal_bp,coal_ex,coal_sc,dsr,eens,gas_ccgt,gas_chp,gas_eng,gas_eng_chp,gas_peak,h_dams,h_pond,h_ror,heat,li,lig,lig_bp,lig_ex,lig_old,lig_sc,nuclear,offshore,onshore,pump,pump_open,solar
2025-cheap-ets,BA,Y,wholesale_revenues_mn_EUR,85.013,,,,,,,,,,,,,,,,348.35,19.376,4.667,,,446.025,,,,,,,81.832,,35.912,25.021
2025-cheap-ets,BE,S,avg_consumer_price_EUR_per_MWh,,80.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BE,S,avg_producer_price_EUR_per_MWh,,78.928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BE,S,capacity_factor,,1.234,,0.673,0.724,,,,,0,,0.125,,0,,,,,0.304,,0.177,,,,,,0.739,0.384,0.226,0.085,,0.159
2025-cheap-ets,BE,S,capex_mn_EUR_per_yr,,,,74.551,79.454,,,,,0,,527.522,,7.606,,,,,27.019,,10.22,,,0,,,2912.425,721.785,549.874,259.619,,671.382
2025-cheap-ets,BE,S,charged_TWh,,2.537,,,,,,,,,,,,,,,,,0,,0.131,,,,,,,,,0.655,,
2025-cheap-ets,BE,S,curtailment_TWh,,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BE,S,discharged_TWh,,2.683,,,,,,,,,,,,,,,,,0.177,,0.118,,,,,,,,,0.472,,
2025-cheap-ets,BE,S,emissions_MtCO2,,12.122,,0,0,,,,,0,0,1.058,,0,,,,,0,,0,,,0,,,0,0,0,0,,0
2025-cheap-ets,BE,S,export_TWh,,3.789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BE,S,heat_production_PJ,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,
2025-cheap-ets,BE,S,import_TWh,,17.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BE,S,inflow_TWh,,,,,,,,,,,,,,,,,,,0.177,,,,,,,,,,,,,
2025-cheap-ets,BE,S,load_TWh,,45.953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BE,S,net_import_TWh,,13.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BE,S,opex_mn_EUR,,,,82.019,133.492,,,,,0,,249.596,,0.017,,,,,,,0.235,,,0,,,278.954,0,0,1.888,,0
2025-cheap-ets,BE,S,power_share_high_value,,,,,,,,,,,,,,,,,,,,,,,,,,,0.957,0.93,0.914,,,0.895
2025-cheap-ets,BE,S,power_share_low_value,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039,0.063,0.075,,,0.098
2025-cheap-ets,BE,S,power_share_zero_value,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.007,0.011,,,0.007
2025-cheap-ets,BE,S,production_TWh,,153.446,,1.042,1.88,,,,,0,0,2.693,,0,,,,,0.177,,0.118,,,0,,,12.68,3.793,3.559,0.472,,6.413
2025-cheap-ets,BE,S,production_el_eq_TWh,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,
2025-cheap-ets,BE,S,production_excess_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.005,,,0.005
2025-cheap-ets,BE,S,production_hours,,,,3329,3388,,,,,0,0,1737,,1,,,,,4368,,925,,,0,,,,,,582,,
2025-cheap-ets,BE,S,production_used_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79,3.554,,,6.408
2025-cheap-ets,BE,S,wholesale_expenses_mn_EUR,619.809,,,,,,,,,,,,,,,,,,0,,10.612,,,,,,,,,48.215,,
2025-cheap-ets,BE,S,wholesale_revenues_mn_EUR,-5.115,,,90.022,159.276,,,,,0,,245.211,,0.017,,,,,14.034,,9.931,,,0,,,1004.696,278.667,256.921,39.725,,495.687
2025-cheap-ets,BE,W,avg_consumer_price_EUR_per_MWh,,90.549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BE,W,avg_producer_price_EUR_per_MWh,,90.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BE,W,capacity_factor,,1.227,,0.926,0.876,,,,,0,,0.586,,0.013,,,,,0.35,,0.18,,,,,,0.844,0.44,0.293,0.045,,0.081
2025-cheap-ets,BE,W,capex_mn_EUR_per_yr,,,,74.551,79.454,,,,,0,,527.522,,7.606,,,,,27.019,,10.22,,,0,,,2912.425,721.785,549.874,259.619,,671.382
2025-cheap-ets,BE,W,charged_TWh,,2.537,,,,,,,,,,,,,,,,,0,,0.133,,,,,,,,,0.35,,
2025-cheap-ets,BE,W,curtailment_TWh,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BE,W,discharged_TWh,,2.683,,,,,,,,,,,,,,,,,0.204,,0.12,,,,,,,,,0.251,,
2025-cheap-ets,BE,W,emissions_MtCO2,,12.122,,0,0,,,,,0,0,4.998,,0.004,,,,,0,,0,,,0,,,0,0,0,0,,0
2025-cheap-ets,BE,W,export_TWh,,3.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BE,W,heat_production_PJ,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,
2025-cheap-ets,BE,W,import_TWh,,12.607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BE,W,inflow_TWh,,,,,,,,,,,,,,,,,,,0.205,,,,,,,,,,,,,
2025-cheap-ets,BE,W,load_TWh,,52.901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BE,W,net_import_TWh,,9.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
