name,year,week,neighbour,ImportTWh,ExportTWh
Dražší povolenka,2009,8,AT,0.06,0
Dražší povolenka,2009,8,SK,0.005,0.081
Dražší povolenka,2009,8,PL,0.008,0.059
Dražší povolenka,2009,8,DE,0.176,0
Dražší povolenka,2009,9,AT,0.051,0.001
Dražší povolenka,2009,9,SK,0.001,0.09
Dražší povolenka,2009,9,PL,0.005,0.066
Dražší povolenka,2009,9,DE,0.15,0.001
Dražší povolenka,2009,10,AT,0.065,0
Dražší povolenka,2009,10,SK,0,0.059
Dražší povolenka,2009,10,PL,0,0.088
Dražší povolenka,2009,10,DE,0.07,0.001
Dražší povolenka,2009,11,AT,0.063,0
Dražší povolenka,2009,11,SK,0.004,0.051
Dražší povolenka,2009,11,PL,0,0.08
Dražší povolenka,2009,11,DE,0.099,0.01
Dražší povolenka,2009,12,AT,0.068,0
Dražší povolenka,2009,12,SK,0.002,0.062
Dražší povolenka,2009,12,PL,0,0.092
Dražší povolenka,2009,12,DE,0.148,0.004
Dražší povolenka,2009,13,AT,0.052,0
Dražší povolenka,2009,13,SK,0,0.054
Dražší povolenka,2009,13,PL,0.001,0.074
Dražší povolenka,2009,13,DE,0.108,0.001
Dražší povolenka,2009,14,AT,0.042,0
Dražší povolenka,2009,14,SK,0,0.067
Dražší povolenka,2009,14,PL,0,0.079
Dražší povolenka,2009,14,DE,0.091,0
Dražší povolenka,2009,15,AT,0.058,0
Dražší povolenka,2009,15,SK,0.001,0.06
Dražší povolenka,2009,15,PL,0.001,0.082
Dražší povolenka,2009,15,DE,0.113,0.003
Dražší povolenka,2009,16,AT,0.059,0
Dražší povolenka,2009,16,SK,0,0.052
Dražší povolenka,2009,16,PL,0.001,0.065
Dražší povolenka,2009,16,DE,0.11,0
Dražší povolenka,2009,17,AT,0.073,0
Dražší povolenka,2009,17,SK,0,0.052
Dražší povolenka,2009,17,PL,0,0.06
Dražší povolenka,2009,17,DE,0.082,0.001
Dražší povolenka,2009,18,AT,0.076,0
Dražší povolenka,2009,18,SK,0,0.073
Dražší povolenka,2009,18,PL,0,0.078
Dražší povolenka,2009,18,DE,0.127,0.001
Dražší povolenka,2009,19,AT,0.036,0
Dražší povolenka,2009,19,SK,0.001,0.061
Dražší povolenka,2009,19,PL,0,0.079
Dražší povolenka,2009,19,DE,0.119,0.002
Dražší povolenka,2009,20,AT,0.051,0
Dražší povolenka,2009,20,SK,0,0.067
Dražší povolenka,2009,20,PL,0.001,0.082
Dražší povolenka,2009,20,DE,0.114,0.001
Dražší povolenka,2009,21,AT,0.066,0
Dražší povolenka,2009,21,SK,0,0.099
Dražší povolenka,2009,21,PL,0.002,0.084
Dražší povolenka,2009,21,DE,0.164,0
Dražší povolenka,2009,22,AT,0.055,0
Dražší povolenka,2009,22,SK,0,0.098
Dražší povolenka,2009,22,PL,0.002,0.079
Dražší povolenka,2009,22,DE,0.199,0
Dražší povolenka,2009,23,AT,0.053,0
